"SPEC","Freq","aphiaID","ScientificName","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Gadus ogac",8,158926,"Gadus ogac","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus ogac"
"Gaidropsarus",35,125743,"Gaidropsarus","Animalia","Chordata","Actinopteri","Gadiformes","Lotidae","Gaidropsarus",NA
"Gasterosteus aculeatus aculeatus",20,236462,"Gasterosteus aculeatus aculeatus","Animalia","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus"
"Gennadas",11,106813,"Gennadas","Animalia","Arthropoda","Malacostraca","Decapoda","Benthesicymidae","Gennadas",NA
"Gersemia fruticosa",4,156101,"Gersemia fruticosa","Animalia","Cnidaria","Anthozoa","Alcyonacea","Nephtheidae","Gersemia","Gersemia fruticosa"
"Gersemia rubiformis",192,156103,"Gersemia rubiformis","Animalia","Cnidaria","Anthozoa","Alcyonacea","Nephtheidae","Gersemia","Gersemia rubiformis"
"Glycera capitata",2,130118,"Glycera capitata","Animalia","Annelida","Polychaeta","Phyllodocida","Glyceridae","Glycera","Glycera capitata"
"Glyptocephalus cynoglossus",6378,127136,"Glyptocephalus cynoglossus","Animalia","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus cynoglossus"
"Gnathophausia",20,119826,"Gnathophausia","Animalia","Arthropoda","Malacostraca","Lophogastrida","Gnathophausiidae","Gnathophausia",NA
"Gonatus fabricii",2,153097,"Gonatus fabricii","Animalia","Mollusca","Cephalopoda","Oegopsida","Gonatidae","Gonatus","Gonatus fabricii"
"Gonatus steenstrupi",2,140027,"Gonatus steenstrupi","Animalia","Mollusca","Cephalopoda","Oegopsida","Gonatidae","Gonatus","Gonatus steenstrupi"
"Gonostomatidae",54,125601,"Gonostomatidae","Animalia","Chordata","Actinopteri","Stomiiformes","Gonostomatidae",NA,NA
"Gorgonocephalus",410,123586,"Gorgonocephalus","Animalia","Echinodermata","Ophiuroidea","Euryalida","Gorgonocephalidae","Gorgonocephalus",NA
"Grammatostomias dentatus",1,158731,"Grammatostomias dentatus","Animalia","Chordata","Actinopteri","Stomiiformes","Stomiidae","Grammatostomias","Grammatostomias dentatus"
"Grammicolepis brachiusculus",8,127420,"Grammicolepis brachiusculus","Animalia","Chordata","Actinopteri","Zeiformes","Grammicolepididae","Grammicolepis","Grammicolepis brachiusculus"
"Gymnelis viridis",14,298255,"Gymnelis viridis","Animalia","Chordata","Actinopteri","Perciformes","Zoarcidae","Gymnelis","Gymnelis viridis"
"Gymnocanthus tricuspis",24,127198,"Gymnocanthus tricuspis","Animalia","Chordata","Actinopteri","Perciformes","Cottidae","Gymnocanthus","Gymnocanthus tricuspis"
"Halargyreus johnsonii",3,126489,"Halargyreus johnsonii","Animalia","Chordata","Actinopteri","Gadiformes","Moridae","Halargyreus","Halargyreus johnsonii"
"Halieutichthys aculeatus",3,159190,"Halieutichthys aculeatus","Animalia","Chordata","Actinopteri","Lophiiformes","Ogcocephalidae","Halieutichthys","Halieutichthys aculeatus"
"Halosauropsis macrochir",7,126639,"Halosauropsis macrochir","Animalia","Chordata","Actinopteri","Notacanthiformes","Halosauridae","Halosauropsis","Halosauropsis macrochir"
"Halosaurus guentheri",4,158557,"Halosaurus guentheri","Animalia","Chordata","Actinopteri","Notacanthiformes","Halosauridae","Halosaurus","Halosaurus guentheri"
"Harriotta raleighana",33,105829,"Harriotta raleighana","Animalia","Chordata","Holocephali","Chimaeriformes","Rhinochimaeridae","Harriotta","Harriotta raleighana"
"Helicolenus dactylopterus",951,127251,"Helicolenus dactylopterus","Animalia","Chordata","Actinopteri","Perciformes","Sebastidae","Helicolenus","Helicolenus dactylopterus"
"Heliometra glacialis",6,124223,"Heliometra glacialis","Animalia","Echinodermata","Crinoidea","Comatulida","Antedonidae","Heliometra","Heliometra glacialis"
"Hemitripterus americanus",4708,159518,"Hemitripterus americanus","Animalia","Chordata",NA,"Scorpaeniformes","Hemitripteridae","Hemitripterus","Hemitripterus americanus"
"Henricia",1555,123276,"Henricia","Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Henricia",NA
"Heteropolypus",1,345446,"Heteropolypus","Animalia","Cnidaria","Anthozoa","Alcyonacea","Alcyoniidae","Heteropolypus",NA
"Hiatella arctica",11,140103,"Hiatella arctica","Animalia","Mollusca","Bivalvia","Adapedonta","Hiatellidae","Hiatella","Hiatella arctica"
"Hippasteria phrygiana",983,124043,"Hippasteria phrygiana","Animalia","Echinodermata","Asteroidea","Valvatida","Goniasteridae","Hippasteria","Hippasteria phrygiana"
"Hippocampus erectus",1,159445,"Hippocampus erectus","Animalia","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Hippocampus","Hippocampus erectus"
"Hippoglossina oblonga",607,158833,"Hippoglossina oblonga","Animalia","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Hippoglossina","Hippoglossina oblonga"
"Hippoglossoides platessoides",10492,127137,"Hippoglossoides platessoides","Animalia","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides"
"Hippoglossus hippoglossus",2696,127138,"Hippoglossus hippoglossus","Animalia","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus hippoglossus"
"Histioteuthis reversa",9,181381,"Histioteuthis reversa","Animalia","Mollusca","Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis","Histioteuthis reversa"
"Holtbyrnia anomala",5,126739,"Holtbyrnia anomala","Animalia","Chordata","Actinopteri","Alepocephaliformes","Platytroctidae","Holtbyrnia","Holtbyrnia anomala"
"Homarus americanus",2870,156134,"Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus"
"Homola minima",1,421895,"Homola minima","Animalia","Arthropoda","Malacostraca","Decapoda","Homolidae","Homola","Homola minima"
"Hoplostethus atlanticus",2,126402,"Hoplostethus atlanticus","Animalia","Chordata","Actinopteri","Trachichthyiformes","Trachichthyidae","Hoplostethus","Hoplostethus atlanticus"
"Hormathia nodosa",49,100954,"Hormathia nodosa","Animalia","Cnidaria","Anthozoa","Actiniaria","Hormathiidae","Hormathia","Hormathia nodosa"
"Howella brodiei",1,126994,"Howella brodiei","Animalia","Chordata","Actinopteri","Acropomatiformes","Howellidae","Howella","Howella brodiei"
"Hyalinoecia tubicola",13,130464,"Hyalinoecia tubicola","Animalia","Annelida","Polychaeta","Eunicida","Onuphidae","Hyalinoecia","Hyalinoecia tubicola"
"Hyas araneus",929,107322,"Hyas araneus","Animalia","Arthropoda","Malacostraca","Decapoda","Oregoniidae","Hyas","Hyas araneus"
"Hyas coarctatus",1089,107323,"Hyas coarctatus","Animalia","Arthropoda","Malacostraca","Decapoda","Oregoniidae","Hyas","Hyas coarctatus"
"Hydrolagus affinis",5,105825,"Hydrolagus affinis","Animalia","Chordata","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus","Hydrolagus affinis"
"Hyperoglyphe perciformis",7,126832,"Hyperoglyphe perciformis","Animalia","Chordata","Actinopteri","Scombriformes","Centrolophidae","Hyperoglyphe","Hyperoglyphe perciformis"
"Icelus",83,126150,"Icelus","Animalia","Chordata","Actinopteri","Perciformes","Cottidae","Icelus",NA
"Ichnopus",3,101614,"Ichnopus","Animalia","Arthropoda","Malacostraca","Amphipoda","Uristidae","Ichnopus",NA
"Idotea",1,118454,"Idotea","Animalia","Arthropoda","Malacostraca","Isopoda","Idoteidae","Idotea",NA
"Illex illecebrosus",6340,153087,"Illex illecebrosus","Animalia","Mollusca","Cephalopoda","Oegopsida","Ommastrephidae","Illex","Illex illecebrosus"
"Ilyophis brunneus",4,126326,"Ilyophis brunneus","Animalia","Chordata","Actinopteri","Anguilliformes","Synaphobranchidae","Ilyophis","Ilyophis brunneus"
"Keratoisis ornata",26,158285,"Keratoisis ornata","Animalia","Cnidaria","Anthozoa","Alcyonacea","Keratoisididae","Keratoisis","Keratoisis ornata"
"Laemonema barbatulum",3,158979,"Laemonema barbatulum","Animalia","Chordata","Actinopteri","Gadiformes","Moridae","Laemonema","Laemonema barbatulum"
"Laminaria digitata",1,145724,"Laminaria digitata","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Laminaria","Laminaria digitata"
"Laminaria longicruris",8,157209,"Laminaria longicruris","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Laminaria","Laminaria longicruris"
"Lamna nasus",3,105841,"Lamna nasus","Animalia","Chordata","Elasmobranchii","Lamniformes","Lamnidae","Lamna","Lamna nasus"
"Leathesia difformis",1,144953,"Leathesia difformis","Chromista","Ochrophyta","Phaeophyceae","Ectocarpales","Chordariaceae","Leathesia","Leathesia difformis"
"Lebbeus groenlandicus",58,107520,"Lebbeus groenlandicus","Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Lebbeus","Lebbeus groenlandicus"
"Lebbeus microceros",1,158362,"Lebbeus microceros","Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Lebbeus","Lebbeus microceros"
"Lebbeus polaris",273,107521,"Lebbeus polaris","Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Lebbeus","Lebbeus polaris"
"Lebbeus zebra",1,584798,"Lebbeus zebra","Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Lebbeus","Lebbeus zebra"
"Lepidion schmidti",1,126496,"Lepidion schmidti","Animalia","Chordata","Actinopteri","Gadiformes","Moridae","Lepidion","Lepidion schmidti"
"Lepophidium profundorum",64,158762,"Lepophidium profundorum","Animalia","Chordata","Actinopteri","Ophidiiformes","Ophidiidae","Lepophidium","Lepophidium profundorum"
"Leptagonus decagonus",495,127191,"Leptagonus decagonus","Animalia","Chordata","Actinopteri","Perciformes","Agonidae","Leptagonus","Leptagonus decagonus"
"Leptasterias",573,123222,"Leptasterias","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Leptasterias",NA
"Leptychaster arcticus",9,123896,"Leptychaster arcticus","Animalia","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Leptychaster","Leptychaster arcticus"
"Leucoraja erinacea",3014,158551,"Leucoraja erinacea","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Leucoraja","Leucoraja erinacea"
"Leucoraja ocellata",4176,158553,"Leucoraja ocellata","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Leucoraja","Leucoraja ocellata"
"Limacina",1,138122,"Limacina","Animalia","Mollusca","Gastropoda","Pteropoda","Limacinidae","Limacina",NA
"Limanda ferruginea",6501,158879,"Limanda ferruginea","Animalia","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Limanda","Limanda ferruginea"
"Liopsetta putnami",1,158882,"Liopsetta putnami","Animalia","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Liopsetta","Liopsetta putnami"
"Liparis atlanticus",132,159524,"Liparis atlanticus","Animalia","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis atlanticus"
"Liparis coheni",5,159525,"Liparis coheni","Animalia","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis coheni"
"Liparis fabricii",79,127218,"Liparis fabricii","Animalia","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis fabricii"
"Liparis gibbus",102,159526,"Liparis gibbus","Animalia","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis gibbus"
"Liparis inquilinus",19,159528,"Liparis inquilinus","Animalia","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis inquilinus"
"Liparis liparis liparis",3,293624,"Liparis liparis liparis","Animalia","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis liparis"
"Liparis tunicatus",5,154825,"Liparis tunicatus","Animalia","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis tunicatus"
"Lipogenys gillii",2,158559,"Lipogenys gillii","Animalia","Chordata","Actinopteri","Notacanthiformes","Notacanthidae","Lipogenys","Lipogenys gillii"
"Lithodes maja",779,107205,"Lithodes maja","Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae","Lithodes","Lithodes maja"
"Loligo pealeii",406,157025,"Loligo pealeii","Animalia","Mollusca","Cephalopoda","Myopsida","Loliginidae","Loligo","Loligo pealeii"
"Lophaster furcifer",11,124156,"Lophaster furcifer","Animalia","Echinodermata","Asteroidea","Valvatida","Solasteridae","Lophaster","Lophaster furcifer"
"Lophelia pertusa",4,135161,"Lophelia pertusa","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Lophelia","Lophelia pertusa"
"Lophius americanus",3218,159184,"Lophius americanus","Animalia","Chordata","Actinopteri","Lophiiformes","Lophiidae","Lophius","Lophius americanus"
"Lopholatilus chamaeleonticeps",3,159406,"Lopholatilus chamaeleonticeps","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Malacanthidae","Lopholatilus","Lopholatilus chamaeleonticeps"
"Lumpenus fabricii",9,127073,"Lumpenus fabricii","Animalia","Chordata","Actinopteri","Perciformes","Stichaeidae","Lumpenus","Lumpenus fabricii"
"Lumpenus lumpretaeformis",665,127074,"Lumpenus lumpretaeformis","Animalia","Chordata","Actinopteri","Perciformes","Stichaeidae","Lumpenus","Lumpenus lumpretaeformis"
"Lumpenus maculatus",656,305353,"Lumpenus maculatus","Animalia","Chordata","Actinopteri","Perciformes","Stichaeidae","Lumpenus","Lumpenus maculatus"
"Lumpenus medius",7,156219,"Lumpenus medius","Animalia","Chordata","Actinopteri","Perciformes","Stichaeidae","Lumpenus","Lumpenus medius"
"Lycenchelys paxillus",29,159257,"Lycenchelys paxillus","Animalia","Chordata","Actinopteri","Perciformes","Zoarcidae","Lycenchelys","Lycenchelys paxillus"
"Lycenchelys verrilli",55,402541,"Lycenchelys verrilli","Animalia","Chordata","Actinopteri","Perciformes","Zoarcidae","Lycenchelys","Lycenchelys verrilli"
"Lycodes esmarki",8,159260,"Lycodes esmarki","Animalia","Chordata","Actinopteri","Perciformes","Zoarcidae","Lycodes","Lycodes esmarki"
"Lycodes eudipleurostictus",4,127104,"Lycodes eudipleurostictus","Animalia","Chordata","Actinopteri","Perciformes","Zoarcidae","Lycodes","Lycodes eudipleurostictus"
"Lycodes lavalaei",108,127107,"Lycodes lavalaei","Animalia","Chordata","Actinopteri","Perciformes","Zoarcidae","Lycodes","Lycodes lavalaei"
"Lycodes pallidus",4,127110,"Lycodes pallidus","Animalia","Chordata","Actinopteri","Perciformes","Zoarcidae","Lycodes","Lycodes pallidus"
"Lycodes polaris",5,127111,"Lycodes polaris","Animalia","Chordata","Actinopteri","Perciformes","Zoarcidae","Lycodes","Lycodes polaris"
"Lycodes reticulatus",86,127112,"Lycodes reticulatus","Animalia","Chordata","Actinopteri","Perciformes","Zoarcidae","Lycodes","Lycodes reticulatus"
"Lycodes terraenova",84,127117,"Lycodes terraenovae","Animalia","Chordata","Actinopteri","Perciformes","Zoarcidae","Lycodes","Lycodes terraenovae"
"Lycodes vahlii",939,127118,"Lycodes vahlii","Animalia","Chordata","Actinopteri","Perciformes","Zoarcidae","Lycodes","Lycodes vahlii"
"Macrorhamphosus scolopax",1,217972,"Macrorhamphosus scolopax","Animalia","Chordata","Actinopteri","Syngnathiformes","Centriscidae","Macrorhamphosus","Macrorhamphosus scolopax"
"Macrostomias longibarbatus",1,319026,"Macrostomias longibarbatus","Animalia","Chordata","Actinopteri","Stomiiformes","Stomiidae","Macrostomias","Macrostomias longibarbatus"
"Macrourus berglax",29,126472,"Macrourus berglax","Animalia","Chordata","Actinopteri","Gadiformes","Macrouridae","Macrourus","Macrourus berglax"
"Mactromeris polynyma",14,156863,"Mactromeris polynyma","Animalia","Mollusca","Bivalvia","Venerida","Mactridae","Mactromeris","Mactromeris polynyma"
"Magnisudis atlantica",13,126359,"Magnisudis atlantica","Animalia","Chordata","Actinopteri","Aulopiformes","Paralepididae","Magnisudis","Magnisudis atlantica"
"Malacocephalus occidentalis",4,158741,"Malacocephalus occidentalis","Animalia","Chordata","Actinopteri","Gadiformes","Macrouridae","Malacocephalus","Malacocephalus occidentalis"
"Malacoraja senta",2994,158554,"Malacoraja senta","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Malacoraja","Malacoraja senta"
"Malacosteus niger",4,127358,"Malacosteus niger","Animalia","Chordata","Actinopteri","Stomiiformes","Stomiidae","Malacosteus","Malacosteus niger"
"Mallotus villosus",1083,126735,"Mallotus villosus","Animalia","Chordata","Actinopteri","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus"
"Margarites",4,138592,"Margarites","Animalia","Mollusca","Gastropoda","Trochida","Margaritidae","Margarites",NA
"Mastigoteuthis",5,138168,"Mastigoteuthis","Animalia","Mollusca","Cephalopoda","Oegopsida","Mastigoteuthidae","Mastigoteuthis",NA
"Maurolicus muelleri",109,127312,"Maurolicus muelleri","Animalia","Chordata","Actinopteri","Stomiiformes","Sternoptychidae","Maurolicus","Maurolicus muelleri"
"Mediaster bairdi",10,124045,"Mediaster bairdi","Animalia","Echinodermata","Asteroidea","Valvatida","Goniasteridae","Mediaster","Mediaster bairdi"
"Melamphaes microps",1,127268,"Melamphaes microps","Animalia","Chordata","Actinopteri","Beryciformes","Melamphaidae","Melamphaes","Melamphaes microps"
"Melamphaes suborbitalis",1,127270,"Melamphaes suborbitalis","Animalia","Chordata","Actinopteri","Beryciformes","Melamphaidae","Melamphaes","Melamphaes suborbitalis"
"Melanogrammus aeglefinus",10310,126437,"Melanogrammus aeglefinus","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus"
"Melanostigma atlanticum",132,127120,"Melanostigma atlanticum","Animalia","Chordata","Actinopteri","Perciformes","Zoarcidae","Melanostigma","Melanostigma atlanticum"
"Menidia menidia",10,159228,"Menidia menidia","Animalia","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","Menidia menidia"
"Mercenaria mercenaria",5,141919,"Mercenaria mercenaria","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Mercenaria","Mercenaria mercenaria"
"Merluccius albidus",328,158748,"Merluccius albidus","Animalia","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius albidus"
"Merluccius bilinearis",7953,158962,"Merluccius bilinearis","Animalia","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis"
"Metridium senile",15,100982,"Metridium senile","Animalia","Cnidaria","Anthozoa","Actiniaria","Metridiidae","Metridium","Metridium senile"
"Microgadus tomcod",46,158928,"Microgadus tomcod","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Microgadus","Microgadus tomcod"
"Micromesistius poutassou",3,126439,"Micromesistius poutassou","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou"
"Modiolus modiolus",76,140467,"Modiolus modiolus","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Modiolus","Modiolus modiolus"
"Mola mola",1,127405,"Mola mola","Animalia","Chordata","Actinopteri","Tetraodontiformes","Molidae","Mola","Mola mola"
"Molpadia",7,123540,"Molpadia","Animalia","Echinodermata","Holothuroidea","Molpadida","Molpadiidae","Molpadia",NA
"Monolene sessilicauda",3,159213,"Monolene sessilicauda","Animalia","Chordata","Actinopteri","Pleuronectiformes","Bothidae","Monolene","Monolene sessilicauda"
"Monstrilla",6,119780,"Monstrilla","Animalia","Arthropoda","Copepoda","Monstrilloida","Monstrillidae","Monstrilla",NA
"Munida iris",43,158398,"Munida iris","Animalia","Arthropoda","Malacostraca","Decapoda","Munididae","Munida","Munida iris"
"Munida valida",33,158399,"Munida valida","Animalia","Arthropoda","Malacostraca","Decapoda","Munididae","Munida","Munida valida"
"Munidopsis curvirostra",39,107175,"Munidopsis curvirostra","Animalia","Arthropoda","Malacostraca","Decapoda","Munidopsidae","Munidopsis","Munidopsis curvirostra"
"Musculus",5,138225,"Musculus","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Musculus",NA
"Mustelus canis",1,158518,"Mustelus canis","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","Mustelus canis"
"Mya arenaria",5,140430,"Mya arenaria","Animalia","Mollusca","Bivalvia","Myida","Myidae","Mya","Mya arenaria"
"Mycteroperca",3,126069,"Mycteroperca","Animalia","Chordata","Actinopteri","Perciformes","Serranidae","Mycteroperca",NA
"Myctophidae",715,125498,"Myctophidae","Animalia","Chordata","Actinopteri","Myctophiformes","Myctophidae",NA,NA
"Myoxocephalus",7535,126152,"Myoxocephalus","Animalia","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus",NA
"Mytilus",98,138228,"Mytilus","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Mytilus",NA
"Myxine glutinosa",1171,101170,"Myxine glutinosa","Animalia","Chordata","Myxini","Myxiniformes","Myxinidae","Myxine","Myxine glutinosa"
"Naticidae",512,145,"Naticidae","Animalia","Mollusca","Gastropoda","Littorinimorpha","Naticidae",NA,NA
"Naucrates ductor",1,126811,"Naucrates ductor","Animalia","Chordata","Actinopteri","Carangiformes","Carangidae","Naucrates","Naucrates ductor"
"Nealotus tripes",3,126864,"Nealotus tripes","Animalia","Chordata","Actinopteri","Scombriformes","Gempylidae","Nealotus","Nealotus tripes"
"Nemichthys scolopaceus",131,126306,"Nemichthys scolopaceus","Animalia","Chordata","Actinopteri","Anguilliformes","Nemichthyidae","Nemichthys","Nemichthys scolopaceus"
"Neocyttus helgae",1,127423,"Neocyttus helgae","Animalia","Chordata","Actinopteri","Zeiformes","Oreosomatidae","Neocyttus","Neocyttus helgae"
"Neolithodes grimaldii",22,107206,"Neolithodes grimaldii","Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae","Neolithodes","Neolithodes grimaldii"
"Neptunea",258,137710,"Neptunea","Animalia","Mollusca","Gastropoda","Neogastropoda","Buccinidae","Neptunea",NA
"Nessorhamphus ingolfianus",13,126292,"Nessorhamphus ingolfianus","Animalia","Chordata","Actinopteri","Anguilliformes","Derichthyidae","Nessorhamphus","Nessorhamphus ingolfianus"
"Nezumia aequalis",2,126473,"Nezumia aequalis","Animalia","Chordata","Actinopteri","Gadiformes","Macrouridae","Nezumia","Nezumia aequalis"
"Nezumia bairdii",1075,183289,"Nezumia bairdii","Animalia","Chordata","Actinopteri","Gadiformes","Macrouridae","Nezumia","Nezumia bairdii"
"Notacanthus chemnitzii",29,126643,"Notacanthus chemnitzii","Animalia","Chordata","Actinopteri","Notacanthiformes","Notacanthidae","Notacanthus","Notacanthus chemnitzii"
"Notolepis rissoi",438,147037,"Notolepis rissoi","Animalia","Chordata","Actinopteri","Aulopiformes","Paralepididae","Notolepis","Notolepis rissoi"
"Nucella lapillus",1,140403,"Nucella lapillus","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Nucella","Nucella lapillus"
"Nucula",1,138262,"Nucula","Animalia","Mollusca","Bivalvia","Nuculida","Nuculidae","Nucula",NA
"Nymphon",34,134591,"Nymphon","Animalia","Arthropoda","Pycnogonida","Pantopoda","Nymphonidae","Nymphon",NA
"Octopoteuthis",6,138271,"Octopoteuthis","Animalia","Mollusca","Cephalopoda","Oegopsida","Octopoteuthidae","Octopoteuthis",NA
"Oithona spinirostris",1,157737,"Oithona spinirostris","Animalia","Arthropoda","Copepoda","Cyclopoida","Oithonidae","Oithona","Oithona spinirostris"
"Ommastrephes",16,138279,"Ommastrephes","Animalia","Mollusca","Cephalopoda","Oegopsida","Ommastrephidae","Ommastrephes",NA
"Omosudis lowii",5,272087,"Omosudis lowii","Animalia","Chordata","Actinopteri","Aulopiformes","Omosudidae","Omosudis","Omosudis lowii"
"Oncopagurus",1,106856,"Oncopagurus","Animalia","Arthropoda","Malacostraca","Decapoda","Parapaguridae","Oncopagurus",NA
"Oneirodes",1,125811,"Oneirodes","Animalia","Chordata","Actinopteri","Lophiiformes","Oneirodidae","Oneirodes",NA
"Ophelia",1,129413,"Ophelia","Animalia","Annelida","Polychaeta",NA,"Opheliidae","Ophelia",NA
"Ophiacantha abyssicola",20,124973,"Ophiacantha abyssicola","Animalia","Echinodermata","Ophiuroidea","Ophiacanthida","Ophiacanthidae","Ophiacantha","Ophiacantha abyssicola"
"Ophiacantha bidentata",39,124978,"Ophiacantha bidentata","Animalia","Echinodermata","Ophiuroidea","Ophiacanthida","Ophiacanthidae","Ophiacantha","Ophiacantha bidentata"
"Ophichthus cruentifer",4,158644,"Ophichthus cruentifer","Animalia","Chordata","Actinopteri","Anguilliformes","Ophichthidae","Ophichthus","Ophichthus cruentifer"
"Ophiomusa lymani",1,245559,"Ophiomusa lymani","Animalia","Echinodermata","Ophiuroidea","Ophiurida","Ophiomusaidae","Ophiomusa","Ophiomusa lymani"
"Ophiopholis aculeata",269,125125,"Ophiopholis aculeata","Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Ophiopholidae","Ophiopholis","Ophiopholis aculeata"
"Ophiura",191,123574,"Ophiura","Animalia","Echinodermata","Ophiuroidea","Ophiurida","Ophiuridae","Ophiura",NA
"Oplophorus spinosus",3,107602,"Oplophorus spinosus","Animalia","Arthropoda","Malacostraca","Decapoda","Oplophoridae","Oplophorus","Oplophorus spinosus"
"Osmerus mordax mordax",110,293649,"Osmerus mordax mordax","Animalia","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax"
"Ovalipes ocellatus",3,158434,"Ovalipes ocellatus","Animalia","Arthropoda","Malacostraca","Decapoda","Ovalipidae","Ovalipes","Ovalipes ocellatus"
"Pachycerianthus borealis",12,283816,"Pachycerianthus borealis","Animalia","Cnidaria","Anthozoa","Spirularia","Cerianthidae","Pachycerianthus","Pachycerianthus borealis"
"Pagurus",320,106854,"Pagurus","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus",NA
"Palmaria palmata",7,145771,"Palmaria palmata","Plantae",NA,"Florideophyceae","Palmariales","Palmariaceae","Palmaria","Palmaria palmata"
"Pandalus borealis",1149,107649,"Pandalus borealis","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus","Pandalus borealis"
"Pandalus montagui",2740,107651,"Pandalus montagui","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus","Pandalus montagui"
"Pandora gouldiana",2,156932,"Pandora gouldiana","Animalia","Mollusca","Bivalvia",NA,"Pandoridae","Pandora","Pandora gouldiana"
"Parablennius marmoreus",1,159609,"Parablennius marmoreus","Animalia","Chordata","Actinopteri","Blenniiformes","Blenniidae","Parablennius","Parablennius marmoreus"
"Paragorgia arborea",51,125418,"Paragorgia arborea","Animalia","Cnidaria","Anthozoa","Alcyonacea","Paragorgiidae","Paragorgia","Paragorgia arborea"
"Paralepis atlantica",23,299959,"Paralepis atlantica","Animalia","Chordata","Actinopteri","Aulopiformes","Paralepididae","Paralepis","Paralepis atlantica"
"Paralepis elongata",2,158874,"Paralepis elongata","Animalia","Chordata","Actinopteri","Aulopiformes","Paralepididae","Paralepis","Paralepis elongata"
"Paralichthys dentatus",96,158826,"Paralichthys dentatus","Animalia","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys dentatus"
"Paraliparis calidus",13,159529,"Paraliparis calidus","Animalia","Chordata","Actinopteri","Perciformes","Liparidae","Paraliparis","Paraliparis calidus"
"Paraliparis copei",43,159530,"Paraliparis copei","Animalia","Chordata","Actinopteri","Perciformes","Liparidae","Paraliparis","Paraliparis copei"
"Paraliparis garmani",2,159531,"Paraliparis garmani","Animalia","Chordata","Actinopteri","Perciformes","Liparidae","Paraliparis","Paraliparis garmani"
