"","species","Count","aphiaID"
"768","Spirontocaris liljeborgii",301,107531
"769","Spirontocaris phippsii",29,107532
"770","Spirontocaris spinus",221,107533
"771","Spisula solidissima",332,156996
"772","Squalus acanthias",3858,105923
"773","Staurostoma mertensii",59,594013
"774","Stauroteuthis syrtensis",2,153122
"775","Stegocephalus inflatus",113,103105
"776","Stenella attenuata",NA,137105
"777","Stenella clymene",NA,137106
"778","Stenella coeruleoalba",NA,137107
"779","Stenella frontalis",NA,137108
"780","Stenella longirostris",NA,137109
"781","Steno bredanensis",NA,137110
"782","Stenotomus chrysops",7,159811
"783","Stephanasterias albula",14,123808
"784","Stephanauge",75,100763
"785","Stephanolepis hispidus",4,127409
"786","Stercorarius",NA,137051
"787","Stercorarius longicaudus",NA,137171
"788","Stercorarius parasiticus",NA,137172
"789","Stercorarius pomarinus",NA,137173
"790","Stereoderma unisemita",6,158488
"791","Stereomastis sculpta",4,107700
"792","Sterna antillarum",NA,159056
"793","Sterna caspia",NA,137159
"794","Sterna dougallii",NA,137160
"795","Sterna forsteri",NA,159057
"796","Sterna fuscata",NA,137161
"797","Sterna hirundo",NA,137162
"798","Sterna nilotica",NA,137164
"799","Sterna paradisaea",NA,137165
"800","Sternidae",NA,148764
"801","Sternoptyx diaphana",9,127314
"802","Stichaeus punctatus",2,159819
"803","Stichaeus punctatus punctatus",14,293745
"804","Stomias boa ferox",295,158737
"805","Stomphia coccinea",184,100854
"806","Strongylocentrotus",7157,123390
"807","Stylocordyla borealis",75,134240
"808","Symbolophorus veranyi",20,126630
"809","Symphurus diomedeanus",160,159358
"810","Synagrops bella",4,401231
"811","Synaphobranchus kaupii",139,126328
"812","Syngnathus fuscus",98,159451
"813","Syscenus infelix",269,156446
"814","Tachyrhynchus erosus",2,196391
"815","Tautogolabrus adspersus",406,159785
"816","Tealia felina",11,100798
"817","Tellina",1,138533
"818","Terebratulina septentrionalis",79,104056
"819","Teredo navalis",3,141607
"820","Teuthowenia megalops",3,139429
"821","Thalassarche chlororhynchos",NA,159069
"822","Thuiaria thuja",43,117940
"823","Thunnus alalunga",1,127026
"824","Thunnus obesus",1,127028
"825","Thunnus thynnus",3941,127029
"826","Thyonella pervicax",3,422527
"827","Thysanoessa longicaudata",2,110709
"828","Thysanoessa raschii",4,110711
"829","Tonicella",6,138090
"830","Torpedo nobiliana",18,157868
"831","Trachyrincus murrayi",34,126481
"832","Tremaster mirabilis",3,124002
"833","Trichechus manatus",NA,159509
"834","Triglops",8956,126154
"835","Trigonolampa miriceps",2,127377
"836","Tringa erythropus",NA,159029
"837","Tringa flavipes",NA,159030
"838","Tringa melanoleuca",NA,158967
"839","Tringa nebularia",NA,158968
"840","Tringa solitaria",NA,110993
"841","Tringa totanus",NA,158970
"842","Tritia",2,246140
"843","Tryngites subruficollis",NA,158972
"844","Tursiops truncatus",NA,137111
"845","Ulva",5,144296
"846","Ulvaria subbifurcata",245,159821
"847","Urasterias lincki",54,123815
"848","Uria",NA,137041
"849","Uria aalge",NA,137133
"850","Uria lomvia",NA,137134
"851","Urophycis chesteri",1466,301114
"852","Urophycis chuss",3871,126503
"853","Urophycis regia",35,158991
"854","Urophycis tenuis",11765,126504
"855","Ursus maritimus",NA,137085
"856","Urticina felina",89,100834
"857","Vanellus vanellus",NA,159142
"858","Vazella pourtalesi",141,172121
"859","Velutinidae",9,143
"860","Venefica procera",2,158593
"861","Venericardia borealis",4,546035
"862","Venus mercenaria",6,366872
"863","Vinciguerria nimbaria",1,127303
"864","Vomer setapinnis",3,322385
"865","Wimvadocus torelli",2,535546
"866","Xema sabini",NA,137167
"867","Xenodermichthys copei",20,126714
"868","Xenolepidichthys dalgleishi",5,159432
"869","Xiphias gladius",3,127094
"870","Xylophaga atlantica",3,156497
"871","Yoldia",8,138672
"872","Zenopsis ocellata",65,307180
"873","Ziphius cavirostris",NA,137127
"874","Zoarces americanus",3194,159267
"875","Zostera marina",1,495077
